Title,PR_Number,Body,State,Created_At,Closed_At,User,Commits,Additions,Deletions,Changed_Files
Sort languages alphabetically in the preferences #10660,10675,"Fixes [#10660](https://github.com/JabRef/jabref/issues/10660)

In the general tab in the preferences, the language list is now sorted.
![WhatsApp Image 2023-11-28 à 15 51 20_c596cee5](https://github.com/JabRef/jabref/assets/127297775/821471ca-5dc7-44ad-9ed6-a4fac8cabaa6)


### Mandatory checks

- [ ] Change in `CHANGELOG.md` described in a way that is understandable for the average user (if applicable)
- [ ] Tests created for changes (if applicable)
- [x] Manually tested changed features in running JabRef (always required)
- [x] Screenshots added in PR description (for UI changes)
- [ ] [Checked developer's documentation](https://devdocs.jabref.org/): Is the information available and up to date? If not, I outlined it in this pull request.
- [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not, I created an issue at <https://github.com/JabRef/user-documentation/issues> or, even better, I submitted a pull request to the documentation repository.
",open,2023-11-28T15:25:37Z,,theoo33,1,8,1,2
Bump org.mariadb.jdbc:mariadb-java-client from 2.7.9 to 3.3.0,10668,"Bumps [org.mariadb.jdbc:mariadb-java-client](https://github.com/mariadb-corporation/mariadb-connector-j) from 2.7.9 to 3.3.0.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/mariadb-corporation/mariadb-connector-j/releases"">org.mariadb.jdbc:mariadb-java-client's releases</a>.</em></p>
<blockquote>
<h2>MariaDB Connector/Java 3.3.0</h2>
<h2><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/tree/3.3.0"">3.3.0</a> (Nov 2023)</h2>
<p><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/compare/3.2.0...3.3.0"">Full Changelog</a></p>
<h5>Notable Changes</h5>
<ul>
<li>CONJ-1115 Make connector become more virtual-thread friendly</li>
<li>CONJ-1108 Database metadata listing TEMPORARY tables/sequences</li>
<li>CONJ-1113 update ed25519 to recent version</li>
<li>CONJ-1116 Avoid unnecessary synchronization on calendar when no calendar parameter</li>
</ul>
<h5>Bugs Fixed</h5>
<ul>
<li>CONJ-1102 BatchUpdateException.getUpdateCounts() returns SUCCESS_NO_INFO but expects EXECUTE_FAILED</li>
</ul>
<h2>MariaDB Connector/Java 3.2.0</h2>
<h2><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/tree/3.2.0"">3.2.0</a> (Aug 2023)</h2>
<p><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/compare/3.1.4...3.2.0"">Full Changelog</a></p>
<h5>Notable Changes</h5>
<ul>
<li>CONJ-920 Java batched statements with optimistic locking failing. the option <code>useBulkStmts</code> is now disable by default, a new option <code>useBulkStmtsForInserts</code> is enable by default, permetting using bulk for INSERT commands only. This permits optimistic behavior working by default.</li>
<li>CONJ-1084	When using maxscale 23.08.0+, and a maxscale node fails, connector will now priorize reconnection to the maxscale node having less connection, to ensure repartition after failover</li>
<li>CONJ-1088	Implement <code>databaseTerm</code> option for mysql compatibility</li>
<li>CONJ-1096 adding option <code>useLocalSessionState</code> to permit avoiding queries when application only use JDBC methods.</li>
</ul>
<h5>Bugs Fixed</h5>
<ul>
<li>CONJ-1075 LOAD DATA INFILE is broken on windows</li>
<li>CONJ-1079 getGeneratedKeys after batch will not return all generated id's if first batch command return no generated id.</li>
<li>CONJ-1080 maridb Java connector sslMode=verify-ca complaining unable to find trust certificate.</li>
<li>CONJ-1082 Multiple session system variables parsing fails</li>
<li>CONJ-1083	Using /<em>client prepare</em>/ prefix to force client side prepared statement</li>
<li>CONJ-1091	can't make a connection when the Read Replica DB is in a hang state when SocketTimeout=0 set</li>
<li>CONJ-1092 ensure respecting server collation</li>
<li>CONJ-1094	Missing mariadb/mysql collation</li>
</ul>
<h2>MariaDB Connector/Java 3.1.4</h2>
<h2><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/tree/3.1.4"">3.1.4</a> (Apr 2023)</h2>
<p><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/compare/3.1.3...3.1.4"">Full Changelog</a></p>
<ul>
<li>CONJ-1065 wrong Resultset.wasNull() for zero-date timestamps</li>
<li>CONJ-1070	getBlob on TEXT columns throw Exception</li>
<li>CONJ-1071	Error response during Bulk execution might result in connection wrong state</li>
<li>CONJ-1067	When some numeric data types are set to UNSIGNED, ResultSetMetaData.getColumnTypeName() does not return UNSIGNED</li>
</ul>
<h2>MariaDB Connector/Java 3.1.3</h2>
<h2><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/tree/3.1.3"">3.1.3</a> (Mar 2023)</h2>
<p><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/compare/3.1.2...3.1.3"">Full Changelog</a></p>
<ul>
<li>CONJ-1054 Threadsafety issue when using CredentialPlugin in v3.x</li>
</ul>
<!-- raw HTML omitted -->
</blockquote>
<p>... (truncated)</p>
</details>
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""https://github.com/mariadb-corporation/mariadb-connector-j/blob/master/CHANGELOG.md"">org.mariadb.jdbc:mariadb-java-client's changelog</a>.</em></p>
<blockquote>
<h2><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/tree/3.3.0"">3.3.0</a> (Nov 2023)</h2>
<p><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/compare/3.2.0...3.3.0"">Full Changelog</a></p>
<h5>Notable Changes</h5>
<ul>
<li>CONJ-1115 Make connector become more virtual-thread friendly</li>
<li>CONJ-1108 Database metadata listing TEMPORARY tables/sequences</li>
<li>CONJ-1113 update ed25519 to recent version</li>
<li>CONJ-1116 Avoid unnecessary synchronization on calendar when no calendar parameter</li>
</ul>
<h5>Bugs Fixed</h5>
<ul>
<li>CONJ-1102 BatchUpdateException.getUpdateCounts() returns SUCCESS_NO_INFO but expects EXECUTE_FAILED</li>
</ul>
<h2><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/tree/3.2.0"">3.2.0</a> (Aug 2023)</h2>
<p><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/compare/3.1.4...3.2.0"">Full Changelog</a></p>
<h5>Notable Changes</h5>
<ul>
<li>CONJ-920 Java batched statements with optimistic locking failing. the option <code>useBulkStmts</code> is now disable by default,
a new option <code>useBulkStmtsForInserts</code> is enabled by default, permitting using bulk for INSERT commands only. This
permits optimistic behavior working by default.</li>
<li>CONJ-1084 When using maxscale 23.08.0+, and a maxscale node fails, connector will now priorize reconnection to the
maxscale node having less connection, to ensure repartition after failover</li>
<li>CONJ-1088 Implement <code>databaseTerm</code> option for mysql compatibility</li>
<li>CONJ-1096 adding option <code>useLocalSessionState</code> to permit avoiding queries when application only use JDBC methods.</li>
</ul>
<h5>Bugs Fixed</h5>
<ul>
<li>CONJ-1075 LOAD DATA INFILE is broken on windows</li>
<li>CONJ-1079 getGeneratedKeys after batch will not return all generated id's if first batch command return no generated
id.</li>
<li>CONJ-1080 mariadb Java connector sslMode=verify-ca complaining unable to find trust certificate.</li>
<li>CONJ-1082 Multiple session system variables parsing fails</li>
<li>CONJ-1083 Using /<em>client prepare</em>/ prefix to force client side prepared statement</li>
<li>CONJ-1091 can't make a connection when the Read Replica DB is in a hang state when SocketTimeout=0 set</li>
<li>CONJ-1092 ensure respecting server collation</li>
<li>CONJ-1094 Missing mariadb/mysql collation</li>
</ul>
<h2><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/tree/3.0.11"">3.0.11</a> (Aug 2023)</h2>
<p><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/compare/3.0.10...3.0.11"">Full Changelog</a></p>
<ul>
<li>CONJ-1089 correcting 3.0.10 incompatibility with in java 8</li>
</ul>
<h2><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/tree/2.7.10"">2.7.10</a> (Aug 2023)</h2>
<p><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/compare/2.7.9...2.7.10"">Full Changelog</a></p>
<!-- raw HTML omitted -->
</blockquote>
<p>... (truncated)</p>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/commit/d9b36887da75cc23b39d3773436450b2e7ebedaf""><code>d9b3688</code></a> Merge branch 'release/3.3.0'</li>
<li><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/commit/7ef158f93edfa89c244c01a3836cc67dbcc1d3a4""><code>7ef158f</code></a> bump 3.3.0</li>
<li><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/commit/5ff1421b537b48a2646a800d34ac96dc619413e2""><code>5ff1421</code></a> [CONJ-1108] Database metadata listing TEMPORARY tables/sequences - ensure nul...</li>
<li><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/commit/52ab8d38e1f1a405d4f9470b0f72eb8a4ff1b04b""><code>52ab8d3</code></a> [CONJ-1108] Database metadata listing TEMPORARY tables/sequences</li>
<li><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/commit/057b2e9d015dbb1d57ca838c1725883c9c03d177""><code>057b2e9</code></a> [misc] default compiler version correction</li>
<li><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/commit/8690386197dbf1ea57d12bec56e21c8350a2b563""><code>8690386</code></a> [CONJ-1102] BatchUpdateException.getUpdateCounts() wrong results</li>
<li><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/commit/69735a540f25ce5793144c61f9edb810f7d15edf""><code>69735a5</code></a> [misc] TemporalField use code simplification</li>
<li><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/commit/c46c6bc0ed5ef14c301ac22760d0b6b5b0e8948f""><code>c46c6bc</code></a> [misc] remove skysql testing</li>
<li><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/commit/be3eb29fe66b67f6237db4f034bc5414f7c412a8""><code>be3eb29</code></a> bump jmh version</li>
<li><a href=""https://github.com/mariadb-corporation/mariadb-connector-j/commit/f5a33b6d8e1540e58ad60b1782e437f20b7aba1a""><code>f5a33b6</code></a> [CONJ-1115] Make connector become virtual-thread friendly - part 2</li>
<li>Additional commits viewable in <a href=""https://github.com/mariadb-corporation/mariadb-connector-j/compare/2.7.9...3.3.0"">compare view</a></li>
</ul>
</details>
<br />

<details>
<summary>Most Recent Ignore Conditions Applied to This Pull Request</summary>

| Dependency Name | Ignore Conditions |
| --- | --- |
| org.mariadb.jdbc:mariadb-java-client | [>= 3.0.a, < 3.1] |
</details>


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=org.mariadb.jdbc:mariadb-java-client&package-manager=gradle&previous-version=2.7.9&new-version=3.3.0)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",open,2023-11-27T14:56:17Z,,dependabot[bot],1,1,1,1
"Handling non-ascii characters in entry editor, related to issue#10506",10662,"<!-- 
Describe the changes you have made here: what, why, ... 
Link the issue that will be closed, e.g., ""Closes #333"".
If your PR closes a koppor issue, link it using its URL, e.g., ""Closes https://github.com/koppor/jabref/issues/47"".
""Closes"" is a keyword GitHub uses to link PRs with issues; do not change it.
Don't reference an issue in the PR title because GitHub does not support auto-linking there.
-->
Closes #10506 

It aims to complete the following tasks mentioned in the issue :

1. Add a warning icon in the field which contains non-ascii characters.  (The non-ascii check should be only in bibtex mode, not in biblatex mode). For example:

![image](https://github.com/JabRef/jabref/assets/64955334/6bcf53d8-595c-43a6-a85a-c0de209e1dc3)

2. Let JabRef focus on the corresponding tab where the problem occurs in the entry editor, after clicking the item in the Check Integrity table. 

### Mandatory checks

<!-- 
- Go through the list below. Please don't remove any items.
- [x] done; [ ] not done / not applicable
-->

- [ ] Change in `CHANGELOG.md` described in a way that is understandable for the average user (if applicable)
- [X] Tests created for changes (if applicable)
- [X] Manually tested changed features in running JabRef (always required)
- [ ] Screenshots added in PR description (for UI changes)
- [X] [Checked developer's documentation](https://devdocs.jabref.org/): Is the information available and up to date? If not, I outlined it in this pull request.
- [X] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not, I created an issue at <https://github.com/JabRef/user-documentation/issues> or, even better, I submitted a pull request to the documentation repository.

### Discussion

- Task 1

I changed the class ASCIICharacterChecker from implementing `EntryChecker` to `ValueChecker`.  

Because adding a warning icon relys on the function `viewModel.getFieldValidator().getValidationStatus()`. 
And there are many classes for `viewModel` such as SimpleEditorViewModel, JournalEditorViewModel, PersonsEditorViewModel, which are separately related to the fields Abstract, Journal, Title, Author, etc.. 
I hope to check all fields together, so I found the superclass for viewModles `AbstractEditorViewModel`. It uses the class `FieldCheckers` to store various field checker. 
However, in the function `fieldCheckers.put(field, checker)`, checker should be of class `ValueChecker`.

It's easy to adopt `ValueChecker` to `EntryChecher` by using the class `FieldChecker`, whereas it's difficult.
I also tried to use the class `IntegrityCheck`, but `AbstractEditorViewModel` just accept `FieldCheckers` as parameter. It's also complex to add `IntegrityCheck` as parameter in `FieldEditors` when initializing viewModles.

- Task 2

I found that only the tabs that have been opened before can be focused by clicking on the entry in the Check Integrity table. This is because only the selected tab is binded to the entry by the function `notifyAboutFocus(BibEntry entry)`. Therefore, I added the function `notifyAboutFocus(BibEntry entry)` to bind the entry with other tabs.

I'd be grateful if you have a better solution to tell me.
",open,2023-11-21T22:12:37Z,,yuyan-z,18,34,23,7
Issue 10431 relevance star,10620,"<!-- 
Describe the changes you have made here: what, why, ... 
Link the issue that will be closed, e.g., ""Closes #333"".
If your PR closes a koppor issue, link it using its URL, e.g., ""Closes https://github.com/koppor/jabref/issues/47"".
""Closes"" is a keyword GitHub uses to link PRs with issues; do not change it.
Don't reference an issue in the PR title because GitHub does not support auto-linking there.
-->

A relevance field was modified so it can  no longer be visible upon hovering as it was causing confusion regarding the actual value of selected entry. It has been modified so a new menu appears upon clicking on the ""Relevance"" field of a selected entry with a selection of 2 options to set it to - Set as Relevant / Set as Irrelevant. Upon choosing one of the mentioned options, the selected entry will be then marked / unmarked with the star icon based by the chosen option. Adding a menu option for ""Relevance"" was to maintain visual consistency with the existing menu options for special fields such as ""Read"" and ""Priority."" Basic tests were also created for this. 

<img width=""1047"" alt=""Screenshot 2023-11-09 at 19 09 02"" src=""https://github.com/JabRef/jabref/assets/62808903/f858622b-f2ed-4e2d-afa8-6f27880024fd"">


Resolves #10431

### Mandatory checks

<!-- 
- Go through the list below. Please don't remove any items.
- [x] done; [ ] not done / not applicable
-->

- [x] Change in `CHANGELOG.md` described in a way that is understandable for the average user (if applicable)
- [x] Tests created for changes (if applicable)
- [x] Manually tested changed features in running JabRef (always required)
- [x] Screenshots added in PR description (for UI changes)
- [x] [Checked developer's documentation](https://devdocs.jabref.org/): Is the information available and up to date? If not, I outlined it in this pull request.
- [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not, I created an issue at <https://github.com/JabRef/user-documentation/issues> or, even better, I submitted a pull request to the documentation repository.
",open,2023-11-06T07:44:50Z,,LenkaBuebnkova,9,0,5,1
Add hide button for user comments,10610,"Fixes https://github.com/JabRef/jabref/issues/10424 by adding a button.

By default the user comments will be shown. However, there is now a button to make it possible to hide the field.
It can be re-activated in the preferences. 


This PR also refs https://github.com/JabRef/jabref-issue-melting-pot/issues/268 and makes use of the new JDK21 data structures. (See https://openjdk.org/jeps/431).

![grafik](https://github.com/JabRef/jabref/assets/320228/77bb5a17-ca1d-4d3d-8232-6e6d675db232)

After pressing the button:
<img width=""838"" alt=""grafik"" src=""https://github.com/JabRef/jabref/assets/320228/6ffe018e-d209-4d6a-8547-6c906d0c2d3b"">


New preference option to re-enable: 

![grafik](https://github.com/JabRef/jabref/assets/320228/f03e497e-d616-4022-ba69-5afa72b20cda)


---

I am not sure about the label ""Add"". Maybe ""Add JabRef-featured user-specific comment""? Exact, but too long.

---

Alternatives considered:

- Global preference to show the user-specific field --> too hidden for me - users won't find it
- Library-specific setting to enable --> requires pro-users to setup the .bib file accordingly (and much more coding effort)

### Mandatory checks

- [x] Change in `CHANGELOG.md` described in a way that is understandable for the average user (if applicable)
- [ ] Tests created for changes (if applicable)
- [x] Manually tested changed features in running JabRef (always required)
- [x] Screenshots added in PR description (for UI changes)
- [ ] [Checked developer's documentation](https://devdocs.jabref.org/): Is the information available and up to date? If not, I outlined it in this pull request.
- [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not, I created an issue at <https://github.com/JabRef/user-documentation/issues> or, even better, I submitted a pull request to the documentation repository.
",open,2023-10-31T01:11:31Z,,koppor,15,213,107,20
Predatory journal checker ,10592,"Continue to resolve koppor#348

The implementation attempts to match the architecture of the JournalInAbbreviationListChecker.

This draft pull request will be updated as the implementation is completed.
### Mandatory checks

<!-- 
- Go through the list below. Please don't remove any items.
- [x] done; [ ] not done / not applicable
-->

- [x] Change in `CHANGELOG.md` described in a way that is understandable for the average user (if applicable)
- [x] Tests created for changes (if applicable)
- [x] Manually tested changed features in running JabRef (always required)
- [ ] Screenshots added in PR description (for UI changes)
- [x] [Checked developer's documentation](https://devdocs.jabref.org/): Is the information available and up to date? If not, I outlined it in this pull request.
- [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not, I created an issue at <https://github.com/JabRef/user-documentation/issues> or, even better, I submitted a pull request to the documentation repository.
",open,2023-10-27T19:46:48Z,,xuanan20020,30,466,13,17
Fix for delete entries should ask user,10591,"<!-- 
Describe the changes you have made here: what, why, ... 
Link the issue that will be closed, e.g., ""Closes #333"".
If your PR closes a koppor issue, link it using its URL, e.g., ""Closes https://github.com/koppor/jabref/issues/47"".
""Closes"" is a keyword GitHub uses to link PRs with issues; do not change it.
Don't reference an issue in the PR title because GitHub does not support auto-linking there.
-->

Fixes #10509

### Mandatory checks

<!-- 
- Go through the list below. Please don't remove any items.
- [x] done; [ ] not done / not applicable
-->

- [x] Change in `CHANGELOG.md` described in a way that is understandable for the average user (if applicable)
- [ ] Tests created for changes (if applicable)
- [x] Manually tested changed features in running JabRef (always required)
- [x] Screenshots added in PR description (for UI changes)
- [x] [Checked developer's documentation](https://devdocs.jabref.org/): Is the information available and up to date? If not, I outlined it in this pull request.
- [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not, I created an issue at <https://github.com/JabRef/user-documentation/issues> or, even better, I submitted a pull request to the documentation repository.

### Implemented the following features

- Create issue [#471](https://github.com/JabRef/user-documentation/issues/471) for user documentation


1. When user delete entries, files which linked to selected entries are also delete
2. When user cut entries, keep files unchanged 
3. Solved the access error caused by repeated deletion of files when one file is attached to multiple entries
4. A pop-up dialog box to confirm whether the user wants to delete attached files from selected entry
5. Keep track of user preference: if the user prefers not show confirmation dialog when deleting entries, then delete the files without displaying the dialog box

    <img width=""425"" alt=""image"" src=""https://github.com/JabRef/jabref/assets/134609685/99325a44-100f-4061-9dcf-24ca923d7ebe"">


6. Add a preference option in **File>Preference>Linked Files>Attached files** so that users can manage preference about external files deletion 

    <img width=""831"" alt=""image"" src=""https://github.com/JabRef/jabref/assets/134609685/f627f5bf-e2bc-411e-9e47-67043dbbc28b"">

",open,2023-10-27T14:45:22Z,,shawn-jj,30,131,31,12
Add git support,10586,"<!-- 
Describe the changes you have made here: what, why, ... 
Link issues that are fixed, e.g. ""Fixes #333"".
If you fixed a koppor issue, link it, e.g. ""Fixes https://github.com/koppor/jabref/issues/47"".
The title of the PR must not reference an issue, because GitHub does not support autolinking there.
-->

Fixes https://github.com/koppor/jabref/issues/578

- SSH auth method
- Username/password dialog box auth method
- Username/password env variables auth method
- Store username/password in JabRef preferences
- Fail silently
- Support for local and remote git repositories


<img width=""191"" alt=""credentialsDialog"" src=""https://github.com/JabRef/jabref/assets/5027245/8d86df50-0dbf-470c-ab92-7df38c65e8a8"">
<img width=""845"" alt=""preferencesPanel"" src=""https://github.com/JabRef/jabref/assets/5027245/96beecf9-1a9b-4cb8-8713-707005acb48c"">


<!-- 
- Go through the list below. Please don't remove any items.
- [x] done; [ ] not done / not applicable
-->

### Mandatory checks

- [x] Change in `CHANGELOG.md` described in a way that is understandable for the average user (if applicable)
- [x] Tests created for changes (if applicable)
- [x] Manually tested changed features in running JabRef (always required)
- [x] Screenshots added in PR description (for UI changes)
- [x] [Checked developer's documentation](https://devdocs.jabref.org/): Is the information available and up to date? If not, I outlined it in this pull request.
- [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not, I created an issue at <https://github.com/JabRef/user-documentation/issues> or, even better, I submitted a pull request to the documentation repository.
",open,2023-10-25T22:04:55Z,,lbenicio,30,2541,34,40
"[WIP] This relativizes the PDF's filepaths after importing through ""Find Unlinked Files""",10582,"<!-- 
Describe the changes you have made here: what, why, ... 
Link issues that are fixed, e.g. ""Fixes #333"".
If you fixed a koppor issue, link it, e.g. ""Fixes https://github.com/koppor/jabref/issues/47"".
The title of the PR must not reference an issue, because GitHub does not support autolinking there.
-->
Fixes https://github.com/koppor/jabref/issues/549

I'll start explaining the changes I've made from the top of the method chain.
1. `ImportHandler`
It is the place where the logic of importing a PDF file starts being executed.
At line 119, there's an `importPDFContent` (of `ExternalFilesContentImporter` class) method executed, which takes in a filepath as a parameter. In order to access the ""General file directory"" library property, I've modified this method (see 2nd point).
2. `ExternalFilesContentImporter`
As mentioned, `importPDFContent` method gets a new parameter: an instance of `MetaData`. The ""General file directory"" path is stored there.
3. `PdfMergeMetadataImporter`
Finally, the actual logic is being executed here. The class is an implementation of an abstract class `Importer`. Among others, it overrides `importDatabase(Path)` method. Previous step's method `importPDFContent` calls `PdfMergeMetadataImporter`'s `importDatabase` method, where the filepath can be manipulated. Because of extending that method, I can provide `importDatabase` with `MetaData` object. At last - just at the end of the method - I've included some basic logic that:
* checks whether the ""General file directory"" is present
* if it is, the filepath is relativized (`C
* if it is not, the absolute path is displayed

Please, do provide me with feedback on the above implementation. I'm particularly interested whether the extensions with `MetaData` instance is an okay decision. I'm also wondering if the ""General file directory"" property may be accessed in some other way.

Note that I've not included any changes to the `CHANGELOG.md` as this is still a work-in-progress pull request and it does not yet solve the issue of other than PDF files.
<!-- 
- Go through the list below. Please don't remove any items.
- [x] done; [ ] not done / not applicable
-->

### Mandatory checks

- [ ] Change in `CHANGELOG.md` described in a way that is understandable for the average user (if applicable)
- [ ] Tests created for changes (if applicable)
- [x] Manually tested changed features in running JabRef (always required)
- [ ] Screenshots added in PR description (for UI changes)
- [x] [Checked developer's documentation](https://devdocs.jabref.org/): Is the information available and up to date? If not, I outlined it in this pull request.
- [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not, I created an issue at <https://github.com/JabRef/user-documentation/issues> or, even better, I submitted a pull request to the documentation repository.
",open,2023-10-25T19:31:14Z,,IceMajor2,13,38,4,4
[WIP] Jump to entry cli,10578,"<!-- 
Describe the changes you have made here: what, why, ... 
Link issues that are fixed, e.g. ""Fixes #333"".
If you fixed a koppor issue, link it, e.g. ""Fixes https://github.com/koppor/jabref/issues/47"".
The title of the PR must not reference an issue, because GitHub does not support autolinking there.
-->

Fixes https://github.com/koppor/jabref/issues/540

Command line now supports option ""jumpToEntryKey"" or ""-j"" folowed by one entrykey argument.
Upon start up, jabref will search the imported files (BibTex files given as command line arguments) for the entrykey and focus this library and select this entry. Recently opened files will not be searched for this key, as it may be out of the scope of my knowledge of the repository to handle this gracefully. 

As mentioned by @calixtus refactoring is likely necessary to create a better way to mix the cli commands into the UI. Though functionality works as expected. 

If this change is merged user documentation at https://docs.jabref.org/advanced/commandline may need to add this feature.

Feature demonstration
![image](https://github.com/JabRef/jabref/assets/141634726/9d904330-97df-4405-ac1a-4f85b7d45107)
![image](https://github.com/JabRef/jabref/assets/141634726/984e4871-91c5-44ea-a665-ba163c702978)


<!-- 
- Go through the list below. Please don't remove any items.
- [x] done; [ ] not done / not applicable
-->

### Mandatory checks

- [x] Change in `CHANGELOG.md` described in a way that is understandable for the average user (if applicable)
- [ ] Tests created for changes (if applicable)
- [x] Manually tested changed features in running JabRef (always required)
- [x] Screenshots added in PR description (for UI changes)
- [x] [Checked developer's documentation](https://devdocs.jabref.org/): Is the information available and up to date? If not, I outlined it in this pull request.
- [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not, I created an issue at <https://github.com/JabRef/user-documentation/issues> or, even better, I submitted a pull request to the documentation repository.
",open,2023-10-25T07:10:34Z,,u7282852,12,222,174,12
